time,x,y,z,qx,qy,qz,qw
1762983431.504379,-9.813885072246194,4.841698391363025,0.0,-0.0,0.0,0.999999999999999,-4.371138977981781e-08
1762983431.504379,-9.813885072246194,4.841698391363025,0.0,-0.0,0.0,0.999999999999999,-4.371138977981781e-08
1762983431.504379,-9.953329767106402,4.841698386757319,0.0,-0.0,0.0,0.9999999999999999,-1.6514448414158624e-08
1762983431.504379,-10.09277446196661,4.841698382151614,0.0,-0.0,0.0,0.9999999999999999,-1.6514448414158624e-08
1762983431.504379,-10.232219156826817,4.84169837754591,0.0,-0.0,0.0,0.9999999999999999,-1.6514448414158624e-08
1762983431.504379,-10.371663851687025,4.841698372940206,0.0,-0.0,0.0,0.9999999999999999,-1.6514448414158624e-08
1762983431.504379,-10.511108546547232,4.841698368334502,0.0,-0.0,0.0,0.9999999999999999,-1.6514448414158624e-08
1762983431.504379,-10.65055324140744,4.841698363728724,0.0,-0.0,0.0,0.9999999999999735,-2.3018164168591702e-07
1762983431.504379,-10.789928372416325,4.841698299565531,0.0,0.0,0.0,-0.999999999999736,7.267013251767102e-07
1762983431.504379,-10.929142152470067,4.841698097231854,0.0,0.0,0.0,-0.9999999999975994,2.1911927988211555e-06
1762983431.504379,-11.06788229790779,4.8416974892190385,0.0,0.0,0.0,-0.9999999999804268,6.2567110432824974e-06
1762983431.504379,-11.205324719739481,4.8416957693440015,0.0,0.0,0.0,-0.9999999998594016,1.6768922818263566e-05
1762983431.504379,-11.339522833421677,4.841691268628378,0.0,0.0,0.0,-0.9999999991263286,4.180122859486238e-05
1762983431.504379,-11.466583472402665,4.841680646046719,0.0,0.0,0.0,-0.9999999954499654,9.539428294462394e-05
1762983431.504379,-11.580666896159459,4.841658880233612,0.0,0.0,0.0,-0.9999999821188079,0.00018910944951477154
1762983431.504379,-11.677490661851483,4.841622259653588,0.0,0.0,0.0,-0.9999999592764429,0.0002853894048618295
1762983431.504379,-11.761337350111285,4.841574401734817,0.0,0.0,0.0,-0.999999937957397,0.00035225729564838655
1762983431.504379,-11.838046811913635,4.841520358789627,0.0,0.0,0.0,-0.9999999252409235,0.0003866757652282847
1762983431.504379,-11.911512153381814,4.841463544242625,0.0,0.0,0.0,-0.9999999195766958,0.0004010568563624021
1762983431.504379,-11.983679579031508,4.841405657746933,0.0,0.0,0.0,-0.9999999173251874,0.000406632042781928
1762983431.504379,-12.055373112354879,4.841347351956653,0.0,0.0,0.0,-0.999999916570584,0.0004084835677469344
1762983431.504379,-12.126905133851299,4.841288912631328,0.0,0.0,0.0,-0.9999999163927495,0.00040891868872048345
1762983431.504379,-12.198385013941841,4.8412304536989925,0.0,0.0,0.0,-0.9999999162427649,0.00040928530798361627
1762983431.504379,-12.269848836347139,4.841171955499168,0.0,0.0,0.0,-0.999999916203525,0.0004093811706194082
1762983431.504379,-12.341308011426143,4.841113447402969,0.0,0.0,0.0,-0.999999916227431,0.00040932277120167007
1762983431.504379,-12.412766050939322,4.841054948582751,0.0,0.0,0.0,-0.9999999160883001,0.00040966253517211906
1762983431.504379,-12.484223889633714,4.840996401369297,0.0,0.0,0.0,-0.9999999160071926,0.00040986047342660874
1762983431.504379,-12.55568143387294,4.840937826108714,0.0,0.0,0.0,-0.9999999160855777,0.00040966918067193367
1762983431.504379,-12.627138705556264,4.840879278410088,0.0,0.0,0.0,-0.999999916220494,0.0004093397183463812
1762983431.504379,-12.698595840705607,4.840820777908233,0.0,0.0,0.0,-0.999999916183932,0.00040942902804519426
